,alias,total,remuneration,employability,jobSatisfaction,workLifeBalance,diversityInTasks,careerProgressionOpportunities,__typename
165,client-services-coordinator,8.0,3.8,3.6,4.1,3.9,3.8,3.3,RoleReviewStats
166,service-coordinator,55.0,3.5,4.0,4.0,4.0,4.0,3.4,RoleReviewStats
167,workforce-coordinator,5.0,2.2,3.0,2.6,3.2,3.6,2.6,RoleReviewStats
168,warranty-officer,1.0,5.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
169,executive-officer,29.0,3.8,3.9,4.2,4.1,4.4,3.9,RoleReviewStats
170,response-manager,1.0,5.0,5.0,4.0,3.0,5.0,3.0,RoleReviewStats
171,processing-officer,1.0,4.0,4.0,3.0,3.0,4.0,4.0,RoleReviewStats
172,bookings-consultant,1.0,1.0,3.0,1.0,3.0,1.0,1.0,RoleReviewStats
173,delivery-coordinator,6.0,2.7,3.0,3.8,3.8,2.7,2.7,RoleReviewStats
174,onboarding-coordinator,,,,,,,,
175,processing-administrator,,,,,,,,
176,management-associate,,,,,,,,
177,data-administrator,2.0,4.0,5.0,5.0,4.0,4.0,4.5,RoleReviewStats
178,information-officer,3.0,3.7,3.0,2.0,3.3,2.3,2.0,RoleReviewStats
179,data-officer,2.0,3.0,4.5,3.5,4.0,3.5,3.5,RoleReviewStats
180,migration-agent,2.0,2.5,2.5,3.0,3.5,3.0,1.5,RoleReviewStats
181,operations-coordinator,37.0,3.0,3.5,3.4,3.4,3.8,3.5,RoleReviewStats
182,engagement-coordinator,1.0,4.0,4.0,3.0,2.0,4.0,3.0,RoleReviewStats
183,rostering-officer,9.0,4.0,3.6,3.3,3.4,3.0,2.7,RoleReviewStats
184,access-officer,,,,,,,,
185,applications-officer,,,,,,,,
186,operations-clerk,2.0,3.5,4.0,4.0,4.0,4.0,4.0,RoleReviewStats
187,liaison-officer,5.0,4.2,4.6,4.0,4.0,4.4,3.2,RoleReviewStats
188,scheduling-specialist,,,,,,,,
189,settlements-administrator,,,,,,,,
190,sales-support-specialist,,,,,,,,
191,legal-administrator,2.0,3.0,3.0,2.5,2.5,2.0,3.0,RoleReviewStats
192,scheduling-officer,2.0,4.5,4.5,4.5,4.0,4.0,4.5,RoleReviewStats
193,documentation-coordinator,1.0,1.0,5.0,4.0,1.0,5.0,4.0,RoleReviewStats
194,programme-coordinator,,,,,,,,
195,officer,23.0,3.4,3.8,3.6,3.7,3.3,3.5,RoleReviewStats
196,licensing-officer,,,,,,,,
197,building-coordinator,,,,,,,,
198,support-adviser,1.0,4.0,5.0,5.0,5.0,3.0,4.0,RoleReviewStats
199,assessment-officer,11.0,4.1,3.8,4.2,4.4,3.9,3.7,RoleReviewStats
200,project-support-officer,4.0,3.5,2.8,3.0,4.8,3.3,3.3,RoleReviewStats
201,resource-officer,,,,,,,,
202,studio-manager,5.0,3.2,3.4,3.6,3.4,3.8,3.8,RoleReviewStats
203,account-coordinator,4.0,3.3,4.5,4.5,4.8,4.3,4.3,RoleReviewStats
204,service-controller,,,,,,,,
205,client-liaison-officer,13.0,3.4,3.2,3.7,3.9,3.5,3.2,RoleReviewStats
206,partnerships-coordinator,1.0,2.0,2.0,2.0,3.0,1.0,2.0,RoleReviewStats
207,purchasing-assistant,2.0,3.0,3.0,3.0,2.0,3.5,3.5,RoleReviewStats
208,customer-service-assistant,84.0,3.5,3.6,3.4,3.9,3.4,3.4,RoleReviewStats
209,human-resources-administrator,38.0,3.6,3.9,3.7,4.1,3.7,3.7,RoleReviewStats
210,accounts-administrator,28.0,3.8,4.1,4.1,4.4,3.8,3.8,RoleReviewStats
211,settlements-associate,,,,,,,,
212,contracts-administrator,87.0,3.8,3.7,4.0,3.8,4.0,3.9,RoleReviewStats
213,experience-officer,,,,,,,,
214,operations-officer,21.0,3.7,3.8,3.8,3.9,4.0,3.7,RoleReviewStats
215,procurement-adviser,1.0,4.0,4.0,5.0,5.0,4.0,4.0,RoleReviewStats
216,photographer,74.0,3.5,3.2,4.5,4.2,4.2,3.9,RoleReviewStats
217,publisher,1.0,3.0,4.0,5.0,5.0,5.0,5.0,RoleReviewStats
218,presenter,2.0,2.5,4.0,5.0,3.5,4.5,2.5,RoleReviewStats
219,planning-director,,,,,,,,
220,museum-curator,,,,,,,,
221,media-director,1.0,4.0,5.0,4.0,5.0,3.0,5.0,RoleReviewStats
222,writer,8.0,2.8,2.5,4.4,4.4,4.1,3.5,RoleReviewStats
223,announcer,,,,,,,,
224,journalist,38.0,3.2,3.0,4.3,3.7,4.2,3.5,RoleReviewStats
225,project-executive,1.0,4.0,5.0,4.0,4.0,5.0,5.0,RoleReviewStats
226,sound-technician,3.0,2.7,3.3,3.7,4.0,3.0,3.0,RoleReviewStats
227,video-editor,9.0,4.0,3.7,4.3,4.2,3.8,4.2,RoleReviewStats
228,media-executive,,,,,,,,
229,reporter,1.0,4.0,3.0,4.0,3.0,4.0,4.0,RoleReviewStats
230,strategist,,,,,,,,
231,producer,20.0,3.5,3.3,4.5,4.0,4.5,3.5,RoleReviewStats
232,art-director,3.0,4.0,3.7,4.3,4.7,3.3,4.0,RoleReviewStats
233,strategy-director,2.0,3.0,2.5,3.5,4.0,2.5,2.5,RoleReviewStats
234,camera-operator,3.0,3.7,2.7,4.3,4.0,2.0,3.0,RoleReviewStats
235,editor,45.0,2.9,2.8,4.0,3.8,3.7,3.4,RoleReviewStats
236,curator,2.0,4.0,2.0,5.0,3.0,3.5,2.5,RoleReviewStats
237,trader,4.0,3.8,2.8,4.0,2.8,2.8,4.0,RoleReviewStats
238,theatre-manager,1.0,4.0,5.0,4.0,4.0,4.0,4.0,RoleReviewStats
239,agency-manager,,,,,,,,
240,creative-director,9.0,3.1,3.9,4.2,3.9,4.3,3.4,RoleReviewStats
241,media-specialist,,,,,,,,
242,activation-manager,2.0,2.0,4.5,3.5,3.5,4.0,3.5,RoleReviewStats
243,videographer,10.0,3.7,3.3,3.9,4.0,4.0,3.6,RoleReviewStats
244,promotions-manager,1.0,4.0,3.0,3.0,5.0,3.0,4.0,RoleReviewStats
245,media-coordinator,1.0,1.0,4.0,5.0,5.0,4.0,1.0,RoleReviewStats
246,advertising-manager,4.0,3.3,3.3,4.0,4.0,2.5,3.5,RoleReviewStats
247,artist,30.0,3.3,3.3,4.2,3.9,4.3,3.5,RoleReviewStats
248,investment-manager,3.0,3.7,3.3,4.0,4.3,4.3,4.0,RoleReviewStats
249,media-analyst,,,,,,,,
250,business-executive,,,,,,,,
251,advertising-specialist,,,,,,,,
252,media-assistant,,,,,,,,
253,paid-search-manager,,,,,,,,
254,creative-manager,1.0,4.0,4.0,5.0,5.0,5.0,4.0,RoleReviewStats
255,account-director,,,,,,,,
256,programmer,22.0,3.1,3.5,3.6,3.7,3.8,3.3,RoleReviewStats
257,fulfilment-specialist,,,,,,,,
258,technical-director,3.0,3.3,3.0,4.3,4.3,3.3,4.3,RoleReviewStats
259,digital-executive,,,,,,,,
260,content-writer,8.0,3.9,3.3,4.1,4.8,4.5,3.5,RoleReviewStats
261,stockbroker,,,,,,,,
262,teller,3.0,4.3,3.7,4.0,4.0,3.7,4.7,RoleReviewStats
263,advice-consultant,,,,,,,,
264,member-consultant,1.0,3.0,5.0,5.0,4.0,4.0,2.0,RoleReviewStats
265,lending-adviser,1.0,3.0,4.0,2.0,3.0,2.0,4.0,RoleReviewStats
266,relationship-consultant,1.0,2.0,2.0,3.0,2.0,2.0,2.0,RoleReviewStats
267,advice-manager,1.0,3.0,5.0,4.0,3.0,5.0,5.0,RoleReviewStats
268,financial-planner,50.0,3.8,3.5,3.7,3.5,3.7,3.5,RoleReviewStats
269,paraplanner,23.0,3.9,4.3,4.0,4.5,3.6,4.0,RoleReviewStats
270,remediation-manager,1.0,5.0,4.0,5.0,5.0,4.0,5.0,RoleReviewStats
271,financial-adviser,27.0,3.7,3.7,4.0,3.7,3.8,4.0,RoleReviewStats
272,banking-specialist,2.0,4.5,5.0,4.0,4.0,4.0,5.0,RoleReviewStats
273,governance-consultant,,,,,,,,
274,retention-manager,1.0,3.0,3.0,2.0,3.0,2.0,2.0,RoleReviewStats
275,controls-analyst,,,,,,,,
276,desk-assistant,,,,,,,,
277,banking-adviser,5.0,4.0,4.6,4.4,4.4,4.6,4.6,RoleReviewStats
278,loan-processor,2.0,2.5,2.5,3.0,3.5,2.5,3.5,RoleReviewStats
279,governance-risk-and-compliance-consultant,1.0,4.0,3.0,4.0,4.0,3.0,4.0,RoleReviewStats
280,retention-officer,1.0,3.0,5.0,3.0,4.0,1.0,3.0,RoleReviewStats
281,mortgage-broker,47.0,3.3,3.2,3.9,3.8,3.7,3.1,RoleReviewStats
282,lending-specialist,1.0,4.0,3.0,3.0,5.0,3.0,5.0,RoleReviewStats
283,relationship-executive,,,,,,,,
284,lending-analyst,1.0,3.0,5.0,4.0,3.0,3.0,4.0,RoleReviewStats
285,banking-manager,,,,,,,,
286,control-officer,,,,,,,,
287,treasurer,6.0,3.7,3.8,4.5,4.3,3.7,4.0,RoleReviewStats
288,model,5.0,3.4,3.2,4.6,3.6,4.2,4.0,RoleReviewStats
289,customer-adviser,18.0,3.7,3.8,3.5,3.5,3.5,3.6,RoleReviewStats
290,relationship-director,1.0,5.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
291,settlements-associate,,,,,,,,
292,review-analyst,,,,,,,,
293,lending-officer,2.0,3.0,3.5,3.0,4.5,3.5,3.0,RoleReviewStats
294,loan-administrator,,,,,,,,
295,credit-analyst,9.0,3.8,4.8,4.3,4.3,4.4,4.3,RoleReviewStats
296,compliance-adviser,,,,,,,,
