,alias,total,remuneration,employability,jobSatisfaction,workLifeBalance,diversityInTasks,careerProgressionOpportunities,__typename
1095,residence-manager,,,,,,,,
1096,biostatistician,1.0,3.0,5.0,5.0,5.0,4.0,3.0,RoleReviewStats
1097,clinical-consultant,,,,,,,,
1098,care-manager,13.0,4.0,4.1,3.9,4.0,3.6,3.7,RoleReviewStats
1099,drug-and-alcohol-worker,3.0,2.0,2.0,2.7,3.3,2.7,2.7,RoleReviewStats
1100,nurse-consultant,,,,,,,,
1101,clinical-specialist,2.0,3.0,4.0,3.0,5.0,5.0,2.0,RoleReviewStats
1102,clinic-coordinator,1.0,5.0,5.0,5.0,5.0,4.0,4.0,RoleReviewStats
1103,anaesthetic-technician,,,,,,,,
1104,health-officer,,,,,,,,
1105,booking-officer,,,,,,,,
1106,clinical-nurse,36.0,4.0,4.4,4.2,3.8,4.1,3.9,RoleReviewStats
1107,school-nurse,4.0,3.3,3.8,3.8,4.5,3.8,2.3,RoleReviewStats
1108,nutritionist,22.0,3.9,3.9,4.6,4.5,4.3,4.0,RoleReviewStats
1109,school-counsellor,6.0,3.2,4.8,4.7,4.8,4.7,3.0,RoleReviewStats
1110,speech-therapist,,,,,,,,
1111,therapist,5.0,3.2,3.4,3.8,3.8,3.6,3.0,RoleReviewStats
1112,paramedic,49.0,3.9,4.0,3.9,3.2,3.9,3.1,RoleReviewStats
1113,medical-administrator,26.0,3.5,4.0,3.8,3.7,3.6,3.2,RoleReviewStats
1114,clinician,9.0,4.0,4.6,4.6,4.4,4.2,4.1,RoleReviewStats
1115,scientist,9.0,3.8,3.8,4.1,4.0,4.0,3.1,RoleReviewStats
1116,research-coordinator,6.0,3.7,3.7,4.0,4.2,3.8,3.3,RoleReviewStats
1117,general-practice-sales-representative,1.0,4.0,3.0,4.0,4.0,3.0,3.0,RoleReviewStats
1118,lifestyle-coordinator,10.0,2.3,3.4,4.0,2.9,4.3,2.9,RoleReviewStats
1119,theatre-technician,5.0,3.6,4.6,4.0,3.8,4.2,3.8,RoleReviewStats
1120,research-assistant,61.0,3.2,3.0,4.0,4.1,3.9,3.3,RoleReviewStats
1121,laboratory-assistant,51.0,3.4,3.6,3.7,3.7,3.5,3.3,RoleReviewStats
1122,clerk,15.0,3.7,3.7,4.1,4.1,3.7,3.4,RoleReviewStats
1123,research-officer,10.0,3.5,3.0,3.8,3.5,3.5,3.4,RoleReviewStats
1124,nurse-practitioner,5.0,4.0,4.6,4.8,4.6,4.6,4.8,RoleReviewStats
1125,personal-care-worker,137.0,3.5,3.8,4.1,3.8,3.7,3.6,RoleReviewStats
1126,rehabilitation-specialist,,,,,,,,
1127,medic,14.0,3.4,3.5,4.1,3.9,3.6,3.5,RoleReviewStats
1128,area-coordinator,5.0,3.8,4.0,4.0,3.6,2.6,3.6,RoleReviewStats
1129,registered-nurse-division-one,65.0,3.5,3.9,3.9,3.9,4.1,3.9,RoleReviewStats
1130,aged-care-worker,90.0,3.3,3.9,3.9,3.9,3.9,3.5,RoleReviewStats
1131,education-coordinator,,,,,,,,
1132,health-manager,,,,,,,,
1133,validation-engineer,1.0,5.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
1134,interpreter,16.0,3.3,3.0,4.1,3.9,4.1,3.8,RoleReviewStats
1135,house-officer,,,,,,,,
1136,specialist,11.0,4.0,3.9,4.1,4.2,4.0,3.8,RoleReviewStats
1137,screening-officer,1.0,4.0,3.0,2.0,1.0,1.0,1.0,RoleReviewStats
1138,solutions-specialist,1.0,5.0,5.0,4.0,2.0,5.0,4.0,RoleReviewStats
1139,assessment-manager,,,,,,,,
1140,animal-technician,11.0,4.0,3.9,3.9,3.9,3.2,3.2,RoleReviewStats
1141,music-therapist,,,,,,,,
1142,sterilisation-technician,6.0,4.2,4.3,4.3,3.8,3.8,3.8,RoleReviewStats
1143,lifestyle-officer,1.0,1.0,3.0,5.0,4.0,4.0,3.0,RoleReviewStats
1144,liaison-officer,5.0,4.2,4.6,4.0,4.0,4.4,3.2,RoleReviewStats
1145,reporting-manager,,,,,,,,
1146,ecei-coordinator,1.0,5.0,5.0,4.0,5.0,4.0,5.0,RoleReviewStats
1147,wellbeing-officer,,,,,,,,
1148,environmental-health-officer,7.0,4.0,4.6,4.3,4.7,4.9,3.6,RoleReviewStats
1149,diversional-therapist,3.0,3.3,3.7,4.3,4.3,4.3,3.0,RoleReviewStats
1150,behaviour-specialist,,,,,,,,
1151,training-supervisor,,,,,,,,
1152,peer-worker,2.0,3.5,4.0,4.5,3.0,4.5,4.0,RoleReviewStats
1153,wellbeing-manager,1.0,5.0,1.0,5.0,3.0,4.0,3.0,RoleReviewStats
1154,caterer,3.0,3.7,4.3,4.0,4.3,4.0,4.0,RoleReviewStats
1155,night-auditor,24.0,3.6,4.2,4.1,3.8,3.9,3.8,RoleReviewStats
1156,tour-guide,26.0,3.5,3.5,4.6,4.2,4.2,3.5,RoleReviewStats
1157,travel-specialist,,,,,,,,
1158,line-cook,7.0,4.1,4.4,4.3,4.1,4.7,4.3,RoleReviewStats
1159,reservations-specialist,,,,,,,,
1160,rooms-division-manager,2.0,3.0,3.5,4.5,4.0,5.0,4.0,RoleReviewStats
1161,bar-attendant,73.0,4.0,3.6,4.2,4.0,3.7,3.6,RoleReviewStats
1162,groups-consultant,,,,,,,,
1163,lounge-manager,,,,,,,,
1164,room-attendant,38.0,3.7,3.8,3.8,3.9,3.6,3.4,RoleReviewStats
1165,chef-de-partie,110.0,3.3,4.0,3.7,3.4,4.0,3.8,RoleReviewStats
1166,guest-services-attendant,9.0,3.7,3.7,3.7,4.0,3.7,3.7,RoleReviewStats
1167,floor-staff,9.0,3.2,3.8,3.8,4.4,3.3,3.2,RoleReviewStats
1168,sous-chef,138.0,3.3,4.0,3.8,3.2,3.7,4.0,RoleReviewStats
1169,ticketing-consultant,,,,,,,,
1170,event-planner,2.0,3.5,4.0,4.5,4.0,4.5,3.0,RoleReviewStats
1171,tour-operator,,,,,,,,
1172,pizza-chef,40.0,3.7,4.0,4.2,3.9,3.8,3.9,RoleReviewStats
1173,kitchen-manager,8.0,3.4,4.0,3.8,3.5,3.6,4.0,RoleReviewStats
1174,restaurant-manager,76.0,3.4,3.9,3.9,3.4,3.9,3.8,RoleReviewStats
1175,breakfast-chef,14.0,3.1,3.8,3.9,3.4,3.4,3.3,RoleReviewStats
1176,commis-chef,57.0,3.3,3.9,3.9,3.4,4.0,4.1,RoleReviewStats
1177,demi-chef,12.0,3.5,4.1,4.2,4.2,4.2,4.4,RoleReviewStats
1178,head-chef,222.0,3.4,3.9,4.0,3.3,3.9,3.8,RoleReviewStats
1179,bartender,187.0,3.7,3.5,3.8,3.7,3.6,3.3,RoleReviewStats
1180,travel-team-leader,1.0,4.0,4.0,4.0,3.0,5.0,5.0,RoleReviewStats
1181,outlet-manager,,,,,,,,
1182,chef,295.0,3.2,3.6,3.6,3.1,3.6,3.6,RoleReviewStats
1183,hospitality-manager,5.0,3.8,3.8,4.2,3.8,4.2,3.0,RoleReviewStats
1184,park-manager,2.0,2.5,3.0,3.0,2.0,3.5,3.0,RoleReviewStats
1185,gaming-attendant,48.0,3.6,3.6,3.7,3.5,3.4,3.3,RoleReviewStats
1186,porter,13.0,3.7,4.3,4.2,4.3,4.3,4.0,RoleReviewStats
1187,housekeeping-attendant,28.0,3.2,3.4,3.7,3.7,3.4,3.4,RoleReviewStats
1188,guest-services-agent,41.0,3.4,3.8,4.0,3.8,3.9,3.8,RoleReviewStats
1189,hotel-manager,23.0,4.0,4.3,4.3,3.4,4.3,4.2,RoleReviewStats
1190,functions-manager,3.0,3.0,3.3,3.3,3.3,3.7,3.0,RoleReviewStats
1191,cafe-manager,23.0,3.3,3.9,4.0,3.6,4.0,3.3,RoleReviewStats
1192,travel-consultant,71.0,2.7,3.3,3.6,3.3,3.9,3.5,RoleReviewStats
1193,food-and-beverage-attendant,138.0,3.7,3.6,3.7,3.7,3.8,3.4,RoleReviewStats
1194,kitchenhand,285.0,3.7,3.6,3.8,3.9,3.7,3.5,RoleReviewStats
1195,waitstaff,268.0,3.3,3.3,3.5,3.7,3.4,3.2,RoleReviewStats
1196,venue-manager,48.0,3.2,3.8,3.6,3.2,3.7,3.3,RoleReviewStats
1197,reservations-agent,11.0,3.6,4.2,3.8,3.9,3.3,3.6,RoleReviewStats
1198,dishwasher,23.0,3.4,3.4,3.4,3.7,3.3,3.4,RoleReviewStats
1199,executive-chef,88.0,3.7,4.0,4.3,3.4,4.3,4.0,RoleReviewStats
1200,motel-manager,7.0,3.0,4.0,4.0,2.4,4.4,3.9,RoleReviewStats
1201,travel-manager,,,,,,,,
1202,barista,184.0,3.5,3.6,3.9,4.1,3.5,3.3,RoleReviewStats
1203,front-office-manager,28.0,3.5,4.2,4.0,3.6,4.1,4.0,RoleReviewStats
1204,cook,162.0,3.6,3.8,4.0,3.8,3.8,3.8,RoleReviewStats
1205,service-agent,1.0,2.0,4.0,3.0,3.0,5.0,4.0,RoleReviewStats
1206,catering-assistant,69.0,3.6,3.9,3.7,3.9,3.6,3.4,RoleReviewStats
1207,housekeeper,133.0,3.4,3.5,3.6,3.9,3.4,3.2,RoleReviewStats
1208,cafe-allrounder,53.0,3.5,3.2,3.7,3.9,3.6,3.1,RoleReviewStats
1209,sommelier,14.0,3.4,3.5,4.5,3.5,4.2,3.9,RoleReviewStats
1210,steward,9.0,4.7,3.8,4.4,4.4,3.9,4.3,RoleReviewStats
1211,service-attendant,8.0,3.6,4.4,3.8,3.8,4.1,3.6,RoleReviewStats
1212,housekeeping-manager,8.0,3.5,3.0,3.9,3.6,3.4,2.9,RoleReviewStats
1213,bar-manager,34.0,3.7,3.7,3.9,3.5,4.0,3.7,RoleReviewStats
1214,reservations-coordinator,3.0,2.7,4.0,4.0,3.3,3.7,3.0,RoleReviewStats
1215,kitchen-assistant,47.0,3.5,3.6,3.8,3.7,3.9,3.5,RoleReviewStats
1216,duty-manager,110.0,3.4,3.6,3.6,3.3,3.7,3.6,RoleReviewStats
1217,night-manager,15.0,3.1,3.7,3.6,3.1,3.5,3.5,RoleReviewStats
1218,reservations-consultant,4.0,3.3,3.0,3.8,4.3,2.8,3.3,RoleReviewStats
1219,food-and-beverage-supervisor,17.0,3.4,3.2,3.6,3.3,3.8,3.9,RoleReviewStats
1220,pastrychef,58.0,3.1,3.8,4.0,3.2,3.8,3.8,RoleReviewStats
1221,unit-manager,3.0,4.3,4.3,4.3,4.3,5.0,4.3,RoleReviewStats
1222,guard,2.0,2.0,2.5,2.5,2.0,2.5,2.0,RoleReviewStats
1223,community-manager,16.0,3.5,3.3,3.9,3.6,4.1,3.3,RoleReviewStats
1224,assistant-manager,177.0,3.4,4.0,3.8,3.6,3.8,3.8,RoleReviewStats
1225,culture-manager,,,,,,,,
1226,concierge,30.0,3.8,3.9,4.4,4.3,3.9,3.6,RoleReviewStats
1227,revenue-manager,1.0,3.0,5.0,5.0,3.0,4.0,5.0,RoleReviewStats
1228,coxswain,4.0,3.8,3.5,4.0,3.8,3.0,3.5,RoleReviewStats
1229,experience-coordinator,,,,,,,,
1230,floor-manager,1.0,4.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
1231,village-manager,6.0,2.7,3.5,4.0,3.5,4.2,2.8,RoleReviewStats
1232,station-manager,3.0,3.0,3.3,4.0,3.0,4.3,3.3,RoleReviewStats
1233,contracting-manager,1.0,4.0,3.0,4.0,4.0,4.0,3.0,RoleReviewStats
1234,location-manager,,,,,,,,
1235,shift-supervisor,53.0,3.3,3.8,3.5,3.5,3.5,3.5,RoleReviewStats
1236,room-supervisor,,,,,,,,
1237,manager,232.0,3.5,3.9,3.8,3.6,3.9,3.6,RoleReviewStats
1238,store-leader,2.0,4.0,4.0,4.5,4.5,4.5,4.5,RoleReviewStats
1239,events-manager,54.0,3.6,3.8,4.1,3.7,4.1,3.3,RoleReviewStats
1240,activities-coordinator,5.0,4.4,4.8,4.8,4.6,5.0,4.8,RoleReviewStats
1241,retail-executive,,,,,,,,
1242,service-operator,1.0,5.0,4.0,5.0,5.0,5.0,5.0,RoleReviewStats
1243,shift-manager,27.0,3.7,3.9,3.6,3.6,3.5,3.7,RoleReviewStats
1244,wellbeing-adviser,,,,,,,,
1245,safety-and-wellbeing-adviser,,,,,,,,
1246,talent-adviser,,,,,,,,
1247,talent-consultant,,,,,,,,
1248,workplace-consultant,,,,,,,,
1249,sourcing-consultant,,,,,,,,
1250,capability-consultant,,,,,,,,
1251,training-adviser,3.0,3.7,4.0,2.7,4.7,3.7,3.3,RoleReviewStats
1252,zero-harm-adviser,1.0,3.0,4.0,3.0,2.0,4.0,2.0,RoleReviewStats
1253,injury-management-adviser,3.0,3.3,4.0,4.0,3.0,4.0,3.7,RoleReviewStats
1254,organisational-development-specialist,,,,,,,,
1255,human-resources-manager,106.0,3.7,4.0,4.2,3.9,4.3,3.8,RoleReviewStats
1256,people-and-culture-manager,8.0,3.5,4.3,4.3,3.9,4.8,4.3,RoleReviewStats
1257,talent-acquisition-consultant,2.0,3.5,3.5,4.5,4.0,4.0,5.0,RoleReviewStats
1258,organisational-development-officer,3.0,4.3,3.7,4.3,4.3,4.0,4.3,RoleReviewStats
1259,talent-acquisition-specialist,14.0,3.6,4.0,4.0,4.1,3.4,3.2,RoleReviewStats
1260,human-resources-adviser,25.0,3.6,4.4,4.1,4.1,4.1,4.0,RoleReviewStats
1261,occupational-health-and-safety-advisor,15.0,3.8,4.1,4.1,4.1,3.8,4.0,RoleReviewStats
1262,organisational-development-consultant,,,,,,,,
1263,human-resources-business-partner,47.0,3.9,4.0,3.9,4.1,4.2,3.9,RoleReviewStats
1264,human-resources-consultant,13.0,3.5,4.2,4.4,4.2,4.5,4.2,RoleReviewStats
1265,recruitment-officer,7.0,3.3,3.6,3.4,4.3,3.1,3.4,RoleReviewStats
1266,human-resources-coordinator,23.0,3.5,4.2,4.0,4.0,4.1,3.6,RoleReviewStats
1267,team-leader-health,,,,,,,,
1268,human-resources-officer,32.0,3.3,3.8,3.9,3.9,4.0,3.4,RoleReviewStats
1269,recruitment-coordinator,24.0,3.7,4.0,4.3,4.0,3.9,3.9,RoleReviewStats
1270,learning-coordinator,2.0,2.0,2.0,3.0,4.0,2.0,2.0,RoleReviewStats
1271,work-health-and-safety-manager,4.0,3.8,4.0,3.8,3.8,4.0,2.8,RoleReviewStats
1272,candidate-manager,,,,,,,,
1273,information-technology-recruitment-consultant,2.0,4.0,4.5,4.0,4.5,4.5,4.5,RoleReviewStats
1274,learning-and-development-specialist,3.0,4.7,2.3,4.7,4.7,4.3,4.0,RoleReviewStats
1275,human-resources-assistant,6.0,3.3,4.0,4.2,3.7,3.7,4.2,RoleReviewStats
1276,work-health-and-safety-officer,36.0,3.5,3.5,4.0,4.1,3.9,3.6,RoleReviewStats
1277,resourcing-specialist,1.0,3.0,4.0,3.0,5.0,5.0,3.0,RoleReviewStats
1278,recruitment-consultant,117.0,3.6,3.6,3.7,3.8,3.6,3.6,RoleReviewStats
1279,resourcer,,,,,,,,
1280,human-resources-director,8.0,3.9,3.9,4.4,4.0,4.3,4.3,RoleReviewStats
1281,safety-consultant,1.0,5.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
1282,capability-specialist,,,,,,,,
1283,human-resources-administrator,38.0,3.6,3.9,3.7,4.1,3.7,3.7,RoleReviewStats
1284,capability-adviser,,,,,,,,
1285,people-and-culture-adviser,2.0,4.5,4.5,4.5,4.5,4.5,5.0,RoleReviewStats
1286,recruitment-manager,7.0,3.6,3.6,4.3,4.3,3.7,4.0,RoleReviewStats
1287,wellbeing-manager,1.0,5.0,1.0,5.0,3.0,4.0,3.0,RoleReviewStats
1288,group-director,,,,,,,,
1289,learning-consultant,1.0,5.0,3.0,4.0,4.0,4.0,4.0,RoleReviewStats
1290,learning-adviser,1.0,2.0,3.0,2.0,5.0,3.0,2.0,RoleReviewStats
1291,talent-manager,,,,,,,,
1292,health-and-safety-coordinator,,,,,,,,
1293,training-consultant,4.0,4.0,4.0,4.8,4.3,4.8,4.0,RoleReviewStats
1294,training-officer,4.0,3.0,4.3,4.3,4.5,4.5,3.5,RoleReviewStats
1295,workforce-manager,1.0,4.0,4.0,5.0,5.0,4.0,5.0,RoleReviewStats
1296,careers-consultant,10.0,3.6,3.4,3.8,4.0,3.5,2.9,RoleReviewStats
1297,health-and-safety-manager,3.0,4.0,4.3,4.3,3.7,4.3,4.0,RoleReviewStats
1298,safety-manager,3.0,4.3,4.3,4.7,4.3,4.3,4.0,RoleReviewStats
1299,instructional-designer,26.0,4.0,3.4,4.1,4.0,4.1,3.3,RoleReviewStats
1300,health-and-safety-adviser,5.0,3.8,3.6,4.0,4.0,3.8,2.8,RoleReviewStats
1301,risk-coordinator,1.0,3.0,3.0,4.0,4.0,2.0,4.0,RoleReviewStats
1302,training-specialist,3.0,4.3,4.0,4.7,4.3,4.7,4.3,RoleReviewStats
1303,delivery-consultant,,,,,,,,
1304,learning-specialist,1.0,3.0,2.0,1.0,1.0,3.0,2.0,RoleReviewStats
1305,safety-officer,12.0,3.6,3.8,4.2,3.8,4.3,3.9,RoleReviewStats
1306,safety-specialist,2.0,3.5,3.0,3.0,3.5,4.5,3.0,RoleReviewStats
1307,onboarding-coordinator,,,,,,,,
1308,training-coordinator,13.0,3.2,3.3,3.9,3.8,3.8,3.4,RoleReviewStats
1309,health-and-safety-officer,1.0,5.0,4.0,5.0,5.0,5.0,5.0,RoleReviewStats
1310,health-manager,,,,,,,,
1311,safety-coordinator,,,,,,,,
1312,resource-manager,2.0,3.0,3.5,4.0,4.0,4.0,3.0,RoleReviewStats
1313,compliance-coordinator,,,,,,,,
1314,transition-specialist,,,,,,,,
1315,development-advisor,,,,,,,,
1316,performance-consultant,,,,,,,,
1317,network-specialist,2.0,3.5,3.5,3.5,3.5,3.5,3.0,RoleReviewStats
1318,database-developer,1.0,4.0,4.0,4.0,4.0,3.0,4.0,RoleReviewStats
1319,functional-specialist,,,,,,,,
1320,solutions-developer,2.0,2.5,3.0,3.5,4.0,3.0,2.5,RoleReviewStats
1321,game-developer,2.0,4.5,3.5,4.5,4.0,4.5,4.0,RoleReviewStats
1322,programmer-analyst,,,,,,,,
1323,test-consultant,2.0,3.5,3.5,4.0,3.5,3.5,3.5,RoleReviewStats
1324,helpdesk-technician,,,,,,,,
1325,test-specialist,1.0,5.0,4.0,4.0,4.0,3.0,4.0,RoleReviewStats
1326,desktop-support-specialist,1.0,2.0,3.0,3.0,3.0,2.0,3.0,RoleReviewStats
1327,helpdesk-manager,2.0,4.0,4.5,5.0,4.0,4.5,4.5,RoleReviewStats
1328,application-consultant,,,,,,,,
1329,solutions-analyst,,,,,,,,
1330,computer-engineer,1.0,3.0,4.0,5.0,3.0,4.0,5.0,RoleReviewStats
1331,helpdesk-team-leader,,,,,,,,
1332,security-architect,1.0,4.0,5.0,4.0,4.0,4.0,3.0,RoleReviewStats
1333,information-technology-specialist,2.0,5.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
1334,business-intelligence-developer,4.0,4.5,4.3,4.8,4.8,4.3,4.5,RoleReviewStats
1335,information-technology-director,5.0,4.2,4.2,4.8,4.2,4.4,4.2,RoleReviewStats
1336,benefits-specialist,,,,,,,,
1337,vice-president,12.0,3.5,3.8,4.3,3.6,4.1,3.8,RoleReviewStats
1338,user-interface-developer,,,,,,,,
1339,implementation-engineer,,,,,,,,
1340,architecture-manager,,,,,,,,
1341,information-management-manager,,,,,,,,
1342,service-desk-technician,1.0,2.0,3.0,2.0,3.0,1.0,1.0,RoleReviewStats
1343,design-specialist,3.0,4.0,4.7,4.3,4.7,4.7,3.7,RoleReviewStats
1344,technical-architect,7.0,4.4,4.3,4.0,4.0,4.1,4.6,RoleReviewStats
1345,helpdesk-coordinator,,,,,,,,
1346,configuration-specialist,,,,,,,,
1347,information-technology-business-analyst,11.0,3.8,3.5,4.3,4.1,4.0,4.1,RoleReviewStats
1348,information-technology-support-technician,20.0,3.6,4.1,4.0,4.1,3.9,3.6,RoleReviewStats
1349,software-engineer,86.0,3.8,4.0,4.0,4.2,3.9,4.0,RoleReviewStats
1350,javascript-developer,2.0,3.5,4.5,4.5,5.0,5.0,4.0,RoleReviewStats
1351,infrastructure-lead,,,,,,,,
1352,datawarehouse-specialist,,,,,,,,
1353,web-developer,50.0,3.7,3.7,4.0,4.0,3.7,3.6,RoleReviewStats
1354,functional-consultant,3.0,4.0,3.3,4.3,4.3,4.0,4.3,RoleReviewStats
1355,systems-architect,1.0,4.0,4.0,3.0,4.0,3.0,4.0,RoleReviewStats
1356,domain-architect,,,,,,,,
1357,cloud-specialist,,,,,,,,
1358,technical-business-analyst,17.0,4.1,3.8,4.1,4.3,3.9,4.1,RoleReviewStats
1359,software-architect,4.0,3.5,2.8,3.5,4.0,4.0,3.0,RoleReviewStats
1360,service-desk-analyst,36.0,3.0,3.8,3.3,3.8,3.1,3.5,RoleReviewStats
1361,data-developer,,,,,,,,
1362,analyst-developer,,,,,,,,
1363,developer,25.0,3.8,4.0,4.2,4.1,4.0,4.1,RoleReviewStats
1364,test-manager,14.0,4.1,4.1,4.3,4.2,4.3,3.8,RoleReviewStats
1365,java-engineer,,,,,,,,
1366,infrastructure-analyst,,,,,,,,
1367,support-developer,,,,,,,,
1368,service-desk-officer,2.0,4.5,5.0,4.0,5.0,2.5,4.5,RoleReviewStats
1369,sql-developer,7.0,3.7,3.6,3.4,3.7,3.0,3.3,RoleReviewStats
1370,information-technology-project-manager,29.0,4.0,3.4,4.0,3.9,4.1,3.9,RoleReviewStats
1371,systems-team-leader,,,,,,,,
1372,magento-developer,,,,,,,,
1373,service-delivery-analyst,1.0,5.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
1374,helpdesk-analyst,1.0,4.0,4.0,4.0,4.0,4.0,5.0,RoleReviewStats
1375,security-analyst,,,,,,,,
1376,mobile-application-developer,1.0,4.0,4.0,5.0,4.0,5.0,4.0,RoleReviewStats
1377,agile-business-analyst,12.0,4.1,4.3,4.4,4.4,4.5,4.0,RoleReviewStats
1378,information-technology-service-desk-analyst,1.0,3.0,2.0,4.0,3.0,4.0,2.0,RoleReviewStats
1379,enterprise-architect,12.0,4.3,3.7,4.3,4.5,4.4,3.8,RoleReviewStats
1380,solutions-architect,32.0,3.8,3.6,4.0,3.9,3.9,3.8,RoleReviewStats
1381,applications-support-analyst,3.0,4.0,4.7,4.0,4.0,4.0,4.0,RoleReviewStats
1382,cyber-security-analyst,3.0,3.0,3.7,4.7,5.0,4.0,5.0,RoleReviewStats
1383,analyst-programmer,24.0,3.8,3.7,3.9,4.0,3.8,3.5,RoleReviewStats
1384,penetration-tester,,,,,,,,
1385,datawarehouse-developer,,,,,,,,
1386,cloud-architect,,,,,,,,
1387,information-technology-manager,36.0,3.6,3.8,3.9,3.8,3.8,3.6,RoleReviewStats
1388,integration-developer,3.0,4.7,3.3,4.3,4.3,4.0,4.7,RoleReviewStats
1389,helpdesk-officer,1.0,3.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
1390,angular-software-developer,1.0,3.0,5.0,4.0,4.0,3.0,3.0,RoleReviewStats
1391,drupal-developer,,,,,,,,
1392,service-desk-manager,2.0,2.5,2.5,4.0,4.5,3.5,3.0,RoleReviewStats
1393,business-systems-analyst,17.0,4.0,4.1,4.3,4.4,4.4,4.0,RoleReviewStats
1394,systems-analyst,17.0,4.2,4.1,4.5,4.3,4.1,4.1,RoleReviewStats
1395,network-consultant,,,,,,,,
1396,digital-business-analyst,12.0,4.1,3.6,4.2,4.6,3.8,3.8,RoleReviewStats
1397,backend-developer,2.0,4.5,4.5,5.0,4.0,3.5,4.5,RoleReviewStats
1398,infrastructure-architect,1.0,4.0,3.0,2.0,4.0,1.0,1.0,RoleReviewStats
1399,infrastructure-project-manager,2.0,4.0,3.5,4.0,3.0,4.5,4.0,RoleReviewStats
1400,security-consultant,1.0,5.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
1401,development-team-leader,1.0,4.0,4.0,4.0,4.0,3.0,4.0,RoleReviewStats
1402,network-administrator,6.0,3.7,4.5,4.5,4.5,4.3,4.3,RoleReviewStats
1403,problem-manager,1.0,4.0,4.0,4.0,4.0,4.0,4.0,RoleReviewStats
1404,database-administrator,24.0,3.8,3.6,4.0,3.8,3.4,3.6,RoleReviewStats
1405,chief-technology-officer,7.0,3.4,3.7,4.4,4.1,4.7,3.6,RoleReviewStats
1406,sitecore-developer,,,,,,,,
1407,information-technology-support-engineer,8.0,3.4,3.4,3.5,3.3,3.8,3.6,RoleReviewStats
1408,automation-analyst,1.0,5.0,4.0,4.0,5.0,3.0,5.0,RoleReviewStats
1409,data-architect,3.0,3.7,4.3,3.7,2.3,3.0,3.0,RoleReviewStats
1410,applications-developer,3.0,3.0,4.0,3.3,4.0,4.3,3.3,RoleReviewStats
1411,application-architect,,,,,,,,
1412,software-developer,36.0,4.1,4.1,4.1,4.2,3.6,3.8,RoleReviewStats
1413,voice-engineer,,,,,,,,
1414,tm1-consultant,,,,,,,,
1415,systems-administrator,28.0,3.9,3.8,4.1,4.1,4.0,4.0,RoleReviewStats
1416,safety-engineer,1.0,4.0,4.0,4.0,4.0,4.0,4.0,RoleReviewStats
1417,information-technology-consultant,18.0,3.9,3.8,4.0,4.0,4.0,3.6,RoleReviewStats
1418,full-stack-developer,36.0,3.7,3.9,3.8,4.0,3.9,3.9,RoleReviewStats
1419,dot-net-software-developer,12.0,3.8,4.1,4.0,3.7,3.9,3.8,RoleReviewStats
1420,php-developer,3.0,4.3,4.7,4.7,4.7,4.3,4.7,RoleReviewStats
1421,java-developer,15.0,4.1,4.1,4.6,4.6,4.1,4.3,RoleReviewStats
1422,tester,2.0,4.0,5.0,4.5,5.0,5.0,4.5,RoleReviewStats
1423,security-specialist,,,,,,,,
1424,devops-engineer,14.0,4.4,4.4,4.3,4.2,4.1,4.3,RoleReviewStats
1425,information-security-analyst,1.0,4.0,5.0,4.0,5.0,2.0,4.0,RoleReviewStats
1426,presales-engineer,2.0,3.0,4.0,2.5,3.0,2.5,2.5,RoleReviewStats
1427,business-analyst,120.0,4.1,3.7,4.2,4.3,4.0,3.9,RoleReviewStats
1428,support-technician,2.0,2.5,2.5,2.5,2.0,2.5,3.0,RoleReviewStats
1429,service-desk-consultant,1.0,5.0,5.0,5.0,5.0,5.0,5.0,RoleReviewStats
1430,cloud-developer,,,,,,,,
1431,android-developer,3.0,4.3,4.7,4.7,4.3,4.0,4.3,RoleReviewStats
1432,information-technology-support-officer,63.0,3.8,4.0,4.1,4.2,3.7,3.7,RoleReviewStats
1433,python-developer,,,,,,,,
1434,security-engineer,1.0,5.0,4.0,5.0,4.0,4.0,4.0,RoleReviewStats
1435,salesforce-developer,9.0,3.9,4.1,4.6,4.6,4.0,4.1,RoleReviewStats
1436,functional-analyst,,,,,,,,
1437,solutions-consultant,6.0,3.8,3.8,3.8,3.8,3.8,3.8,RoleReviewStats
1438,integration-consultant,,,,,,,,
1439,information-technology-technician_2,24.0,3.6,4.1,4.0,4.2,3.8,3.5,RoleReviewStats
1440,salesforce-administrator,6.0,4.2,3.8,4.2,4.5,3.5,4.2,RoleReviewStats
1441,customer-realtionship-management-developer,,,,,,,,
1442,incident-manager,2.0,3.0,3.5,4.0,3.5,3.0,3.5,RoleReviewStats
1443,business-process-analyst,4.0,4.8,3.8,4.5,4.8,4.8,4.3,RoleReviewStats
1444,performance-engineer,,,,,,,,
1445,licensing-specialist,,,,,,,,
1446,infrastructure-specialist,,,,,,,,
1447,applications-analyst,2.0,4.5,3.0,3.0,4.0,3.5,3.5,RoleReviewStats
1448,infrastructure-consultant,2.0,4.0,3.5,4.5,4.5,3.0,3.0,RoleReviewStats
