,id,role_id,alias,title,roleReviewStatistics,growth,industry,salarySuggestion.locationName,salarySuggestion.suggestion.min,salarySuggestion.suggestion.max,salarySuggestion.salary_min,salarySuggestion.salary_max,salarySuggestion.salary_median,salarySuggestion.__typename,roleReviewStatistics.jobSatisfaction,roleReviewStatistics.__typename,growth.value,growth.__typename,salarySuggestion
75,control-manager,control-manager,control-manager,Control Manager,,,accounting,Australia,130000.0,190000.0,150000.0,170000.0,160000.0,SalarySuggestion,,,,,
76,cost-controller,cost-controller,cost-controller,Cost Controller,,,accounting,Australia,85000.0,145000.0,105000.0,125000.0,115000.0,SalarySuggestion,3.5,RoleReviewStats,,,
77,business-adviser,business-adviser,business-adviser,Business Adviser,,,accounting,Australia,70000.0,130000.0,90000.0,110000.0,97500.0,SalarySuggestion,4.7,RoleReviewStats,,,
78,fund-accountant,fund-accountant,fund-accountant,Fund Accountant,,,accounting,Australia,70000.0,130000.0,90000.0,110000.0,100000.0,SalarySuggestion,3.6,RoleReviewStats,9.2,Growth,
79,reconciliations-officer,reconciliations-officer,reconciliations-officer,Reconciliations Officer,,,accounting,Australia,55000.0,85000.0,65000.0,75000.0,70000.0,SalarySuggestion,,,,,
80,financial-administrator,financial-administrator,financial-administrator,Financial Administrator,,,accounting,Australia,65000.0,80000.0,70000.0,75000.0,70000.0,SalarySuggestion,4.5,RoleReviewStats,,,
81,pricing-analyst,pricing-analyst,pricing-analyst,Pricing Analyst,,,accounting,Australia,60000.0,105000.0,75000.0,90000.0,83750.0,SalarySuggestion,,,5.4,Growth,
82,collections-team-leader,collections-team-leader,collections-team-leader,Collections Team Leader,,,accounting,Australia,55000.0,115000.0,75000.0,95000.0,84725.0,SalarySuggestion,5.0,RoleReviewStats,,,
83,analytics-analyst,analytics-analyst,analytics-analyst,Analytics Analyst,,,accounting,Australia,95000.0,155000.0,115000.0,135000.0,124999.0,SalarySuggestion,,,,,
84,settlements-administrator,settlements-administrator,settlements-administrator,Settlements Administrator,,,accounting,Australia,65000.0,80000.0,70000.0,75000.0,72499.0,SalarySuggestion,,,,,
85,private-investigator,private-investigator,private-investigator,Private Investigator,,,accounting,,,,,,,,4.5,RoleReviewStats,4.9,Growth,
86,trust-accountant,trust-accountant,trust-accountant,Trust Accountant,,,accounting,Australia,70000.0,100000.0,80000.0,90000.0,82500.0,SalarySuggestion,4.9,RoleReviewStats,9.2,Growth,
87,collections-officer,collections-officer,collections-officer,Collections Officer,,,accounting,Australia,50000.0,95000.0,65000.0,80000.0,70000.0,SalarySuggestion,3.8,RoleReviewStats,0.0,Growth,
88,payments-officer,payments-officer,payments-officer,Payments Officer,,,accounting,Australia,50000.0,80000.0,60000.0,70000.0,65000.0,SalarySuggestion,5.0,RoleReviewStats,,,
89,assurance-analyst,assurance-analyst,assurance-analyst,Assurance Analyst,,,accounting,Australia,65000.0,125000.0,85000.0,105000.0,94971.0,SalarySuggestion,,,,,
90,actuary,actuary,actuary,Actuary,,,accounting,Australia,110000.0,170000.0,130000.0,150000.0,139999.0,SalarySuggestion,5.0,RoleReviewStats,11.0,Growth,
91,specialist-consultant,specialist-consultant,specialist-consultant,Specialist Consultant,,,accounting,Australia,65000.0,125000.0,85000.0,105000.0,95000.0,SalarySuggestion,5.0,RoleReviewStats,,,
92,pricing-manager,pricing-manager,pricing-manager,Pricing Manager,,,accounting,Australia,115000.0,175000.0,135000.0,155000.0,143000.0,SalarySuggestion,4.0,RoleReviewStats,4.4,Growth,
93,site-administration-officer,site-administration-officer,site-administration-officer,Site Administration Officer,,,administration-office-support,Australia,60000.0,105000.0,75000.0,90000.0,85000.0,SalarySuggestion,,,7.3,Growth,
94,documentation-manager,documentation-manager,documentation-manager,Documentation Manager,,,administration-office-support,Australia,80000.0,125000.0,95000.0,110000.0,105000.0,SalarySuggestion,,,,,
95,operations-representative,operations-representative,operations-representative,Operations Representative,,,administration-office-support,,,,,,,,,,,,
96,school-officer,school-officer,school-officer,School Officer,,,administration-office-support,Australia,50000.0,80000.0,60000.0,70000.0,63906.0,SalarySuggestion,4.7,RoleReviewStats,,,
97,management-executive,management-executive,management-executive,Management Executive,,,administration-office-support,,,,,,,,,,,,
98,support-clerk,support-clerk,support-clerk,Support Clerk,,,administration-office-support,Australia,40000.0,70000.0,50000.0,60000.0,57499.0,SalarySuggestion,,,,,
99,assistant_2,assistant_2,assistant_2,Assistant,,,administration-office-support,Australia,45000.0,90000.0,60000.0,75000.0,66831.0,SalarySuggestion,4.2,RoleReviewStats,,,
100,management-assistant,management-assistant,management-assistant,Management Assistant,,,administration-office-support,Australia,50000.0,110000.0,70000.0,90000.0,80000.0,SalarySuggestion,,,,,
101,building-administrator,building-administrator,building-administrator,Building Administrator,,,administration-office-support,Australia,60000.0,75000.0,65000.0,70000.0,70000.0,SalarySuggestion,,,,,
102,team-assistant,team-assistant,team-assistant,Team Assistant,,,administration-office-support,Australia,55000.0,100000.0,70000.0,85000.0,77500.0,SalarySuggestion,3.5,RoleReviewStats,,,
103,executive-assistant,executive-assistant,executive-assistant,Executive Assistant,,,administration-office-support,Australia,60000.0,120000.0,80000.0,100000.0,90000.0,SalarySuggestion,4.0,RoleReviewStats,-0.1,Growth,
